0815-10,Hero,EN,JA,,
fire_god_zidane,Zidane,"・Deals 355% damage to the target.
・Steals all dispellable buffs from the target and randomly distributes them on allies.
・Randomly casts one of the following alternatives:
[%88]+355[%]
・[#ff9f81]Element Link[#] gives all [#ff9f81]Fire[#] allies -80% critical chance for 6 turns. This effect can't be dispelled.
・The target receives 510 Bleed damage over 3 turns.
・The target receives 543 Poison damage over 3 turns.","・ターゲットに355%のダメージを与える。
・ターゲットから、解除可能なバフをすべて盗み、仲間全員にランダムに分配する。
・以下の選択肢のいずれかをランダムに適用する：
[%88]+355[%]
・6ターンの間、[#ff9f81]属性リンク[#]によって、[#ff9f81]炎属性[#]の仲間全員のクリティカル攻撃を与える確率が、-80%になる。この効果は解除できない。
・3ターンの間、ターゲットに510の出血ダメージを与える。
・3ターンの間、ターゲットに543の毒ダメージを与える。",ABSPOWER2,2
nomad_female_lord_costume_flame,Elena C,"・Deals 172% damage to all enemies.
・The caster and nearby allies counterattack with 120% of the damage received for 5 turns.","・敵全員に172%のダメージを与える。
・5ターンの間、術者と近くにいる仲間が受けたダメージの120%で反撃する。",ATTACKINCREASE,7
orc_gladiator_costume_chef,Boldtusk C,"・Recovers 37% health for all allies.
・All allies get 30% attack for 4 turns. This effect can't be dispelled.","・仲間全員のライフを37%回復する。
・4ターンの間、仲間全員の攻撃力が30%になる。この効果は解除できない。",BLOCKCHANCE,2
oriental_female_mystic_costume_magician,Vivica C,"・Recovers 44% health for all allies.
・All enemies get -44% defense for 4 turns. This effect can't be dispelled.","・仲間全員のライフを44%回復する。
・4ターンの間、敵全員の防御力が-44%になる。この効果は解除できない。",DAMAGEPERTURN,8
blackguard_commander_costume_metal,Tiburtus C,"・Deals 175% damage to all enemies.
・All enemies get -34% defense for 4 turns. This effect can't be dispelled.","・敵全員に175%のダメージを与える。
・4ターンの間、敵全員の防御力が-34%になる。この効果は解除できない。",DEFENSEINCREASE,2
nordic_male_lord_costume_senior,Richard C,"・Deals 435% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -34% attack for 4 turns.","・ターゲットに435%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の攻撃力が-34%になる。",DODGE,4
oriental_enchanted_monk_costume_tiger,Joon C,"・Deals 488% damage to the target.
・The target gets -121% accuracy for 4 turns.","・ターゲットに488%のダメージを与える。
・4ターンの間、ターゲットの命中率が-121%になる。",FALLBACKSPECIALTITLE,2
royal_knight_costume_blacksmith,Gunnar C,"・All enemies become [#!]Soul Connected[#] for 5 turns. Soul Connected enemies share received damage.
・All enemies get -44% defense for 5 turns. This effect can't be dispelled.","・5ターンの間、敵全員に[#!]ソウル・コネクト[#]が発動する。ソウル・コネクトによって魂が繋がった敵同士は被ダメージを共有する。
・5ターンの間、敵全員の防御力が-44%になる。この効果は解除できない。",HPPERTURN,2
oriental_brawler_costume_egypt,Bane C,"・Deals 280% damage to the target.
・The target gets -126% accuracy for 4 turns.","・ターゲットに280%のダメージを与える。
・4ターンの間、ターゲットの命中率が-126%になる。",INSANITYTOADD,10
forest_mage_costume_white,Melendor C,"・All allies regenerate 24 HP over 3 turns.
・All allies get 46% defense for 3 turns.","・3ターンに渡って、仲間全員のHPが24回復する。
・3ターンの間、仲間全員の防御力が46%になる。",MAXACTIVATIONCOUNT,5
forest_female_druid_costume_native,Brienne C,"・All enemies get 59% defense, and a further 59% decrease every time they are hit for 4 turns, down to 59% defense.",・4ターンの間、敵全員の防御力が59%になる。さらに、攻撃を受けるたびに59%ずつ減少する。最大59%まで。,MAXDAMAGE,2
