Title,id,hero_icon_mini
エレナ,9057,"<a href=""https://bbcamp.info/herodb/elena""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Elena.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
エレナ-コス,9058,"<a href=""https://bbcamp.info/herodb/elena2""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Elena2.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ガーディアンコング,9059,"<a href=""https://bbcamp.info/herodb/guardian_kong""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Guardian_Kong.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
マリャーナ,9060,"<a href=""https://bbcamp.info/herodb/marjana""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Marjana.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
カーガン,9061,"<a href=""https://bbcamp.info/herodb/khagan""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Khagan.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
キャプテンケストレル,9062,"<a href=""https://bbcamp.info/herodb/captain_kestrel""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Captain_Kestrel.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
アレス,9063,"<a href=""https://bbcamp.info/herodb/ares""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Ares.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
アズラル,9064,"<a href=""https://bbcamp.info/herodb/azlar""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Azlar.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ナタリア,9065,"<a href=""https://bbcamp.info/herodb/natalya""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Natalya.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
グレイブメイカー,9066,"<a href=""https://bbcamp.info/herodb/gravemaker""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Gravemaker.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
赤ずきん,9067,"<a href=""https://bbcamp.info/herodb/red_hood""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Red_Hood.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ジムキサ,9068,"<a href=""https://bbcamp.info/herodb/zimkitha""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Zimkitha.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ミツコ,9069,"<a href=""https://bbcamp.info/herodb/mitsuko""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Mitsuko.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
サンタクロース,9070,"<a href=""https://bbcamp.info/herodb/santa_claus""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Santa_Claus.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ハートの女王,9071,"<a href=""https://bbcamp.info/herodb/queen_of_hearts""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Queen_of_Hearts.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ブラックナイト,9072,"<a href=""https://bbcamp.info/herodb/black_knight""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Black_Knight.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
グラズル,9073,"<a href=""https://bbcamp.info/herodb/grazul""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Grazul.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
アンゾー,9074,"<a href=""https://bbcamp.info/herodb/anzogh""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Anzogh.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
長靴をはいた猫,9075,"<a href=""https://bbcamp.info/herodb/puss_in_boots""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Puss_in_Boots.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ジーン・フランソア,9076,"<a href=""https://bbcamp.info/herodb/jean-francois""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Jean-Francois.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ター,9077,"<a href=""https://bbcamp.info/herodb/tyr""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Tyr.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
アズラル-コス,9078,"<a href=""https://bbcamp.info/herodb/azlar2""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Azlar2.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
バルドル,9079,"<a href=""https://bbcamp.info/herodb/baldur""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Baldur.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ノア,9080,"<a href=""https://bbcamp.info/herodb/noor""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Noor.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
マスターレプス,9082,"<a href=""https://bbcamp.info/herodb/master_lepus""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Master_Lepus.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ペルセウス,9083,"<a href=""https://bbcamp.info/herodb/perseus""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Perseus.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
イサルニア,9084,"<a href=""https://bbcamp.info/herodb/isarnia""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Isarnia.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
マグニ,9085,"<a href=""https://bbcamp.info/herodb/magni""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Magni.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
アテネ,9086,"<a href=""https://bbcamp.info/herodb/athena""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Athena.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ソーン,9087,"<a href=""https://bbcamp.info/herodb/thorne""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Thorne.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
リチャード,9088,"<a href=""https://bbcamp.info/herodb/richard""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Richard.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
キングアーサー,9089,"<a href=""https://bbcamp.info/herodb/king_arthur""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/King_Arthur.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
アラシー,9090,"<a href=""https://bbcamp.info/herodb/alasie""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Alasie.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ルンペルシュティルツヒェン,9091,"<a href=""https://bbcamp.info/herodb/rumpelstiltskin""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Rumpelstiltskin.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ミサンドラ,9092,"<a href=""https://bbcamp.info/herodb/misandra""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Misandra.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
イーギル,9093,"<a href=""https://bbcamp.info/herodb/aegir""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Aegir.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
フィンリー,9094,"<a href=""https://bbcamp.info/herodb/finley""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Finley.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ミキ,9095,"<a href=""https://bbcamp.info/herodb/miki""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Miki.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
アリス,9096,"<a href=""https://bbcamp.info/herodb/alice""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Alice.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
アリエル,9097,"<a href=""https://bbcamp.info/herodb/ariel""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Ariel.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
フリーダ,9098,"<a href=""https://bbcamp.info/herodb/frida""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Frida.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
イサルニア-コス,9099,"<a href=""https://bbcamp.info/herodb/isarnia2""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Isarnia2.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
リチャード-コス,9100,"<a href=""https://bbcamp.info/herodb/richard2""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Richard2.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
雪白姫,9101,"<a href=""https://bbcamp.info/herodb/snow_white""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Snow_White.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ヴェラ,9102,"<a href=""https://bbcamp.info/herodb/vela""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Vela.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
フェンリル,9103,"<a href=""https://bbcamp.info/herodb/fenrir""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Fenrir.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
マグニ-コス,9104,"<a href=""https://bbcamp.info/herodb/magni2""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Magni2.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ラファエッレ,9105,"<a href=""https://bbcamp.info/herodb/raffaele""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Raffaele.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
スカジ,9106,"<a href=""https://bbcamp.info/herodb/skadi""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Skadi.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
カディレン,9108,"<a href=""https://bbcamp.info/herodb/kadilen""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Kadilen.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
アルベリッヒ,9109,"<a href=""https://bbcamp.info/herodb/alberich""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Alberich.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
エルカネン,9110,"<a href=""https://bbcamp.info/herodb/elkanen""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Elkanen.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
レディロック,9111,"<a href=""https://bbcamp.info/herodb/lady_locke""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Lady_Locke.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ホルグホル,9112,"<a href=""https://bbcamp.info/herodb/horghall""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Horghall.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
リアーナ,9113,"<a href=""https://bbcamp.info/herodb/lianna""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Lianna.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
モーガン・ル・フェイ,9114,"<a href=""https://bbcamp.info/herodb/morgan_le_fay""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Morgan_Le_Fay.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ゼリン,9115,"<a href=""https://bbcamp.info/herodb/zeline""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Zeline.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ユナン,9116,"<a href=""https://bbcamp.info/herodb/yunan""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Yunan.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
グレゴリオン,9117,"<a href=""https://bbcamp.info/herodb/gregorion""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Gregorion.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
ターラック,9118,"<a href=""https://bbcamp.info/herodb/tarlak""><img src=""https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Tarlak.jpg"" class=""stbSkipLazy height:auto"" width=""80"" height=""80""/></a>"
