"hero_id","hero_name","passive_en","passive_ja","ss_en","ss_ja","extra_en_1","extra_ja_1","extra_en_2","extra_ja_2"
"fire_god_zidane","Zidane","--- Passives ---

- Increased Attack per Non-Fire Enemy -
At the start of each battle, this character's attack is increased by 5% for every enemy that is not of [##elementred]Fire[#] element. In battles with multiple waves, the effect is refreshed at the beginning of each wave.

- Resist Burn -
This character has innate resistance against [#!]Burn[#].","--- Passives ---

- 炎属性以外の敵1体につき、攻撃力が増加する -
バトル開始時に、このキャラクターの攻撃力が[##elementred]炎属性[#]以外の敵1体につき、5%増加する。複数のウェーブがあるバトルでは、この効果は各ウェーブ毎にリセットされる。

- 燃焼耐性 -
このキャラクターは[#!]燃焼[#]に対する耐性を最初から持つ","・Deals 355% damage to the target.
・Steals all dispellable buffs from the target and randomly distributes them on allies.
・Randomly casts one of the following alternatives:
[%88]15[%]
・[#ff9f81]Element Link[#] gives all [#ff9f81]Fire[#] allies -80% critical chance for 6 turns. This effect can't be dispelled.","・ターゲットに355%のダメージを与える。
・ターゲットから、解除可能なバフをすべて盗み、仲間全員にランダムに分配する。
・以下の選択肢のいずれかをランダムに適用する：
[%88]15[%]
・6ターンの間、[#ff9f81]属性リンク[#]によって、[#ff9f81]炎属性[#]の仲間全員のクリティカル攻撃を与える確率が、-80%になる。この効果は解除できない。","","","",""
"nomad_female_lord_costume_flame","Elena C","","","・Deals 172% damage to all enemies.
・The caster and nearby allies counterattack with 155% of the damage received for 5 turns.","・敵全員に172%のダメージを与える。
・5ターンの間、術者と近くにいる仲間が受けたダメージの155%で反撃する。","","","",""
"orc_gladiator_costume_chef","Boldtusk C","","","・Recovers 37% health for all allies.
・All allies get 30% attack for 4 turns. This effect can't be dispelled.","・仲間全員のライフを37%回復する。
・4ターンの間、仲間全員の攻撃力が30%になる。この効果は解除できない。","","","",""
"oriental_female_mystic_costume_magician","Vivica C","","","・Recovers 44% health for all allies.
・Dispels buffs from all enemies.
・All enemies get -44% defense for 4 turns. This effect can't be dispelled.","・仲間全員のライフを44%回復する。
・敵全員のバフを解除する。
・4ターンの間、敵全員の防御力が-44%になる。この効果は解除できない。","","","",""
"blackguard_commander_costume_metal","Tiburtus C","","","・Deals 175% damage to all enemies.
・All enemies get -34% defense for 4 turns. This effect can't be dispelled.","・敵全員に175%のダメージを与える。
・4ターンの間、敵全員の防御力が-34%になる。この効果は解除できない。","","","",""
"nordic_male_lord_costume_senior","Richard C","","","・Deals 435% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -34% attack for 4 turns.","・ターゲットに435%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の攻撃力が-34%になる。","","","",""
"oriental_enchanted_monk_costume_tiger","Joon C","","","・Deals 488% damage to the target.
・The target gets -135% accuracy for 4 turns.","・ターゲットに488%のダメージを与える。
・4ターンの間、ターゲットの命中率が-135%になる。","","","",""
"royal_knight_costume_blacksmith","Gunnar C","","","・All enemies become [#!]Soul Connected[#] for 5 turns. Soul Connected enemies share received damage.
・All enemies get -44% defense for 5 turns. This effect can't be dispelled.","・5ターンの間、敵全員に[#!]ソウル・コネクト[#]が発動する。ソウル・コネクトによって魂が繋がった敵同士は被ダメージを共有する。
・5ターンの間、敵全員の防御力が-44%になる。この効果は解除できない。","","","",""
"oriental_brawler_costume_egypt","Bane C","","","・Deals 280% damage to the target.
・The target gets -140% accuracy for 4 turns.","・ターゲットに280%のダメージを与える。
・4ターンの間、ターゲットの命中率が-140%になる。","","","",""
"forest_mage_costume_white","Melendor C","","","・Dispels buffs from all enemies.
・All allies regenerate 1120 HP over 3 turns. This effect can't be dispelled.
・All allies get 46% defense for 3 turns.","・敵全員のバフを解除する。
・仲間全員のHPが1120回復(3ターン)。この効果は解除不可
・3ターンの間、仲間全員の防御力が46%になる。","","","",""
"forest_female_druid_costume_native","Brienne C","","","・All enemies get 59% defense, and a further -4% decrease every time they are hit for 4 turns, down to 48% defense.","・4ターンの間、敵全員の防御力が59%になる。さらに、攻撃を受けるたびに-4%ずつ減少する。最大48%まで。","","","",""
"goblin_mage_costume_candy","Skittleskull C","","","・Deals 175% damage to all enemies.
・All enemies get -39% attack for 6 turns. This effect can't be cleansed.","・敵全員に175%のダメージを与える。
・6ターンの間、敵全員の攻撃力が-39%になる。この効果は浄化不可。","","","",""
"elven_archer_costume_moon","Lianna C","","","・Deals 482% damage to the target.
・The target gets -34% mana generation for 3 turns.","・ターゲットに482%のダメージを与える。
・3ターンの間、ターゲットのマナ生成が-34%になる。","","","",""
"forest_titan_costume_jester","Horghall C","","","・Deals 250% damage to all enemies.
・All enemies get -54% attack for 6 turns. This effect can't be cleansed.","・敵全員に250%のダメージを与える。
・6ターンの間、敵全員の攻撃力が-54%になる。この効果は浄化不可。","","","",""
"royal_knight_costume_glass","N/A","--- Passives ---

- FAILED: glass_reflect_debuffs -
lang_id resolution failed.","--- Passives ---","・All allies become [#!]Soul Connected[#] for 5 turns. Soul Connected allies share received damage.
・All allies get 59% defense for 5 turns.
・All [##elementblue]Ice[#] allies reflect status ailments and negative stacks for 2 turns.","・5ターンの間、仲間全員に[#!]ソウル・コネクト[#]が発動する。ソウル・コネクトによって魂が繋がった仲間同士は被ダメージを共有する。
・5ターンの間、仲間全員の防御力が59%になる。
・2ターンの間、[##elementblue]氷[#]属性の仲間全員が新たなステータス異常とマイナスの累積状態を跳ね返す。","","","",""
"oriental_female_templar_costume_kimono","Li Xiu C","","","・Deals 180% damage to all enemies.
・Reduces the mana of all enemies by -10%.","・敵全員に180%のダメージを与える。
・敵全員のマナが-10%減少する。","","","",""
"undead_running_skeleton_costume_roman","Tyrum C","","","・Deals 310% damage to the target.
・Cleanses status ailments from all allies.","・ターゲットに310%のダメージを与える。
・仲間全員のステータス異常を浄化する。","","","",""
"royal_female_knight_costume_winter","Sonya C","","","・Deals 345% damage to the target.
・Cleanses status ailments from all allies.","・ターゲットに345%のダメージを与える。
・仲間全員のステータス異常を浄化する。","","","",""
"nomad_female_shaman_costume_native","Hawkmoon C","","","・All allies regenerate 720 HP over 3 turns. This effect can't be dispelled.
・All allies get 30% attack for 3 turns. This effect can't be dispelled.","・仲間全員のHPが720回復(3ターン)。この効果は解除不可
・3ターンの間、仲間全員の攻撃力が30%になる。この効果は解除できない。","","","",""
"blackguard_knight_costume_elegant","Rigard C","","","・Cleanses status ailments from all allies.
・All allies regenerate 1120 HP over 3 turns. This effect can't be dispelled.
・All allies get 48% attack for 3 turns. This effect can't be dispelled.","・仲間全員のステータス異常を浄化する。
・仲間全員のHPが1120回復(3ターン)。この効果は解除不可
・3ターンの間、仲間全員の攻撃力が48%になる。この効果は解除できない。","","","",""
"cultist_inventor_costume_steam","Quintus C","","","・Deals 235% damage to all enemies.
・All enemies get -34% attack for 4 turns. This effect can't be cleansed.","・敵全員に235%のダメージを与える。
・4ターンの間、敵全員の攻撃力が-34%になる。この効果は浄化不可。","","","",""
"nordic_ice_enchantress_costume_aqua","Isarnia C","","","・Deals 255% damage to all enemies.
・All enemies get -34% defense for 6 turns. This effect can't be dispelled.","・敵全員に255%のダメージを与える。
・6ターンの間、敵全員の防御力が-34%になる。この効果は解除できない。","","","",""
"lizardman_warrior_costume_dinosaur","Isshtak C","","","・Deals 185% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -44% defense for 4 turns.","・ターゲットに185%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の防御力が-44%になる。","","","",""
"lizardman_trapper_costume_shaman","Kashhrek C","","","・Boosts health of the caster and nearby allies by 450. Boosted health can exceed max HP.
・The caster and nearby allies get 64% defense against [#ff9f81]Fire[#] for 3 turns.","・術者と近くにいる仲間のライフを450回復する。ライフ値が最大HPを超えた場合は、一時的に最大HP値が増加する。
・術者と近くにいる仲間の[#ff9f81]炎属性[#]への防御力が64%になる(3ターン)","","","",""
"forest_friar_costume_explorer","Friar Tuck C","","","・Recovers 22% health for all allies.
・All allies get 24% mana generation for 3 turns.","・仲間全員のライフを22%回復する。
・3ターンの間、仲間全員のマナ生成が24%になる。","","","",""
"exalted_warrior_costume_ice","Magni C","","","・Deals 420% damage to the target.
・The target and nearby enemies get -34% defense for 4 turns.","・ターゲットに420%のダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の防御力が-34%になる。","","","",""
"dwarven_smasher_costume_smith","Karil C","","","・Deals 240% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies receive 66 Burn damage over 3 turns.","・ターゲットに240%ダメージ、近くにいる敵に小ダメージを与える。
・3ターンの間、ターゲットと近くにいる敵に66の燃焼ダメージを与える。","","","",""
"dwarven_guard_costume_ram","Boril C","","","・All allies counterattack with 60% of the damage received for 4 turns.","・4ターンの間、仲間全員が受けたダメージの60%で反撃する。","","","",""
"cultist_sorceress_costume_shaman","Sartana C","","","・Deals 532% damage to the target.","・ターゲットに532%のダメージを与える。","","","",""
"blackguard_skulker_costume_doctor","Renfeld C","","","・Deals 195% damage to the target.
・The caster steals generated mana of the target and the nearby enemies over 4 turns starting low and increasing every turn until on the last turn all the generated mana is stolen. This effect can't be cleansed, but gets removed if the caster is defeated.","・ターゲットに195%のダメージを与える。
・術者がターゲットと近くにいる敵のマナを4ターンに渡って奪う。最初は少量しか奪えないが、ターン毎に奪える量が増え、生成されたすべてのマナを奪うまで続く。この効果は浄化不可だが、術者が倒れると解除される。","","","",""
"forest_archer_costume_warrior","Berden C","","","・Deals 325% damage to the target.
・The target gets -34% defense for 6 turns. This effect can't be cleansed.","・ターゲットに325%のダメージを与える。
・6ターンの間、ターゲットの防御力が-34%になる。この効果は浄化できない。","","","",""
"elven_captain_costume_mask","Caedmon C","","","・Deals 345% damage to the target.
・Cleanses status ailments from all allies.","・ターゲットに345%のダメージを与える。
・仲間全員のステータス異常を浄化する。","","","",""
"dwarwen_brewmaster_costume_guitarist","Kiril C","","","・Recovers 28% health for all allies.
・All enemies get -34% attack for 3 turns. This effect can't be cleansed.
・All enemies get -34% defense for 3 turns. This effect can't be dispelled.","・仲間全員のライフを28%回復する。
・3ターンの間、敵全員の攻撃力が-34%になる。この効果は浄化不可。
・3ターンの間、敵全員の防御力が-34%になる。この効果は解除できない。","","","",""
"cultist_mage_costume_voodoo","Balthazar C","","","・Deals 315% damage to the target.
・The target receives 66 Poison damage over 3 turns.","・ターゲットに315%のダメージを与える。
・3ターンの間、ターゲットに66の毒ダメージを与える。","","","",""
"blackguard_female_captain_costume_musketeer","Prisca C","","","・Deals 205% damage to the target and minor damage to nearby enemies.","・ターゲットに205%ダメージ、近くにいる敵に小ダメージを与える。","","","",""
"nomad_female_swordmaster_costume_native","Azar C","","","・Deals 170% damage to the target and nearby enemies.
・Reduces the mana of the target and nearby enemies by -15%.","・ターゲットと近くにいる敵に170%のダメージを与える。
・ターゲットと近くにいる敵のマナが-15%減少する。","","","",""
"magitech_sniper_costume_steampunk","Domitia C","","","・Deals 400% damage to the target.
・Cleanses status ailments from the caster and nearby allies.
・The target and nearby enemies receive 544 Poison damage over 4 turns.","・ターゲットに400%のダメージを与える。
・術者と近くにいる仲間のステータス異常を浄化する。
・4ターンの間、ターゲットと近くにいる敵に544の毒ダメージを与える。","","","",""
