"hero_id","hero_name","passive_en","passive_ja","ss_en","ss_ja","extra_en_1","extra_ja_1","extra_en_2","extra_ja_2"
"fire_god_zidane","Zidane","--- Passives ---

- Increased Attack per Non-Fire Enemy -
At the start of each battle, this character's attack is increased by 5% for every enemy that is not of [##elementred]Fire[#] element. In battles with multiple waves, the effect is refreshed at the beginning of each wave.

- Resist Burn -
This character has innate resistance against [#!]Burn[#].","--- Passives ---

- 炎属性以外の敵1体につき、攻撃力が増加する -
バトル開始時に、このキャラクターの攻撃力が[##elementred]炎属性[#]以外の敵1体につき、5%増加する。複数のウェーブがあるバトルでは、この効果は各ウェーブ毎にリセットされる。

- 燃焼耐性 -
このキャラクターは[#!]燃焼[#]に対する耐性を最初から持つ","・Deals 355% damage to the target.
・Steals all dispellable buffs from the target and randomly distributes them on allies.
・Randomly casts one of the following alternatives:
[%88]15[%]
・[#ff9f81]Element Link[#] gives all [#ff9f81]Fire[#] allies -80% critical chance for 6 turns. This effect can't be dispelled.","・ターゲットに355%のダメージを与える。
・ターゲットから、解除可能なバフをすべて盗み、仲間全員にランダムに分配する。
・以下の選択肢のいずれかをランダムに適用する：
[%88]15[%]
・6ターンの間、[#ff9f81]属性リンク[#]によって、[#ff9f81]炎属性[#]の仲間全員のクリティカル攻撃を与える確率が、-80%になる。この効果は解除できない。","","","",""
"nomad_female_lord_costume_flame","Elena C","","","・Deals 172% damage to all enemies.
・The caster and nearby allies counterattack with 155% of the damage received for 5 turns. This effect cannot be dispelled.","・敵全員に172%のダメージを与える。
・5ターンの間、術者と付近の仲間が受けたダメージの155%で反撃する。この効果は解除できない。","","","",""
"orc_gladiator_costume_chef","Boldtusk C","","","・Recovers 37% health for all allies.
・All allies get 30% attack for 4 turns.","・仲間全員のライフを37%回復する。
・4ターンの間、仲間全員の攻撃力が30%になる。","","","",""
"oriental_female_mystic_costume_magician","Vivica C","","","・Recovers 44% health for all allies.
・Dispels buffs from all enemies.
・All enemies get -44% defense for 4 turns. This effect can't be dispelled.","・仲間全員のライフを44%回復する。
・敵全員のバフを解除する。
・4ターンの間、敵全員の防御力が-44%になる。この効果は解除できない。","","","",""
"blackguard_commander_costume_metal","Tiburtus C","","","・Deals 175% damage to all enemies.
・All enemies get -34% defense for 4 turns. This effect can't be dispelled.","・敵全員に175%のダメージを与える。
・4ターンの間、敵全員の防御力が-34%になる。この効果は解除できない。","","","",""
"nordic_male_lord_costume_senior","Richard C","","","・Deals 435% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -34% attack for 4 turns.","・ターゲットに435%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の攻撃力が-34%になる。","","","",""
"oriental_enchanted_monk_costume_tiger","Joon C","","","・Deals 488% damage to the target.
・The target gets -135% accuracy for 4 turns.","・ターゲットに488%のダメージを与える。
・4ターンの間、ターゲットの命中率が-135%になる。","Chance to miss also applies to offensive Special Skills.","特殊スキルが不発に終わる可能性は、攻撃系の特殊スキルに対しても適用される。","",""
"royal_knight_costume_blacksmith","Gunnar C","","","・All enemies become [#!]Soul Connected[#] for 5 turns. Soul Connected enemies share received damage.
・All enemies get -44% defense for 5 turns. This effect can't be dispelled.","・5ターンの間、敵全員に[#!]ソウル・コネクト[#]が発動する。ソウル・コネクトによって魂が繋がった敵同士は被ダメージを共有する。
・5ターンの間、敵全員の防御力が-44%になる。この効果は解除できない。","","","",""
"oriental_brawler_costume_egypt","Bane C","","","・Deals 280% damage to the target.
・The target gets -140% accuracy for 4 turns.","・ターゲットに280%のダメージを与える。
・4ターンの間、ターゲットの命中率が-140%になる。","Chance to miss also applies to offensive Special Skills.","特殊スキルが不発に終わる可能性は、攻撃系の特殊スキルに対しても適用される。","",""
"forest_mage_costume_white","Melendor C","","","・Dispels buffs from all enemies.
・All allies regenerate 1120 HP over 3 turns. This effect can't be dispelled.
・All allies get 46% defense for 3 turns. This effect can't be dispelled.","・敵全員のバフを解除する。
・仲間全員のHPが1120回復(3ターン)。この効果は解除不可
・3ターンの間、仲間全員の防御力が46%になる。この効果は解除できない。","","","",""
"forest_female_druid_costume_native","Brienne C","","","・All enemies get 59% defense, and a further -4% decrease every time they are hit for 4 turns, down to 48% defense.","・4ターンの間、敵全員の防御力が59%になる。さらに、攻撃を受けるたびに-4%ずつ減少する。最大48%まで。","","","",""
"goblin_mage_costume_candy","Skittleskull C","","","・Deals 175% damage to all enemies.
・All enemies get -39% attack for 6 turns. This effect can't be cleansed.","・敵全員に175%のダメージを与える。
・6ターンの間、敵全員の攻撃力が-39%になる。この効果は浄化不可。","","","",""
"elven_archer_costume_moon","Lianna C","","","・Deals 482% damage to the target.
・The target gets -34% mana generation for 3 turns.","・ターゲットに482%のダメージを与える。
・3ターンの間、ターゲットのマナ生成が-34%になる。","","","",""
"forest_titan_costume_jester","Horghall C","","","・Deals 250% damage to all enemies.
・All enemies get -54% attack for 6 turns. This effect can't be cleansed.","・敵全員に250%のダメージを与える。
・6ターンの間、敵全員の攻撃力が-54%になる。この効果は浄化不可。","","","",""
"royal_knight_costume_glass","N/A","--- Passives ---

- FAILED: glass_reflect_debuffs -
lang_id resolution failed.","--- Passives ---","・All allies become [#!]Soul Connected[#] for 5 turns. Soul Connected allies share received damage.
・All allies get 59% defense for 5 turns. This effect can't be dispelled.
・All [##elementblue]Ice[#] allies reflect status ailments and negative stacks for 2 turns.","・5ターンの間、仲間全員に[#!]ソウル・コネクト[#]が発動する。ソウル・コネクトによって魂が繋がった仲間同士は被ダメージを共有する。
・5ターンの間、仲間全員の防御力が59%になる。この効果は解除できない。
・2ターンの間、[##elementblue]氷[#]属性の仲間全員が新たなステータス異常とマイナスの累積状態を跳ね返す。","Status effects cast by characters, Minions and Fiends on the same side cannot be reflected.","同じチームのキャラクター、ミニオン、フィエンドが特殊スキルを使用して敵にステータス効果を付与した場合、敵はこれらの効果を跳ね返すことができない。","",""
"oriental_female_templar_costume_kimono","Li Xiu C","","","・Deals 180% damage to all enemies.
・Reduces the mana of all enemies by -10%.","・敵全員に180%のダメージを与える。
・敵全員のマナが-10%減少する。","Targetable means characters that aren't defeated, ghosts, or affected by invisibility, abyss, or any similar effect.","「ターゲット可能」とは、戦闘不能になっていないキャラクターやゴーストではないユニット、不可視や奈落の底といった効果を受けていないユニットを意味する。","",""
"undead_running_skeleton_costume_roman","Tyrum C","","","・Deals 310% damage to the target.
・Cleanses status ailments from all allies.","・ターゲットに310%のダメージを与える。
・仲間全員のステータス異常を浄化する。","","","",""
"royal_female_knight_costume_winter","Sonya C","","","・Deals 345% damage to the target.
・Cleanses status ailments from all allies.","・ターゲットに345%のダメージを与える。
・仲間全員のステータス異常を浄化する。","","","",""
"nomad_female_shaman_costume_native","Hawkmoon C","","","・All allies regenerate 720 HP over 3 turns. This effect can't be dispelled.
・All allies get 30% attack for 3 turns.","・仲間全員のHPが720回復(3ターン)。この効果は解除不可
・3ターンの間、仲間全員の攻撃力が30%になる。","","","",""
"blackguard_knight_costume_elegant","Rigard C","","","・Cleanses status ailments from all allies.
・All allies regenerate 1120 HP over 3 turns. This effect can't be dispelled.
・All allies get 48% attack for 3 turns.","・仲間全員のステータス異常を浄化する。
・仲間全員のHPが1120回復(3ターン)。この効果は解除不可
・3ターンの間、仲間全員の攻撃力が48%になる。","","","",""
"cultist_inventor_costume_steam","Quintus C","","","・Deals 235% damage to all enemies.
・All enemies get -34% attack for 4 turns. This effect can't be cleansed.","・敵全員に235%のダメージを与える。
・4ターンの間、敵全員の攻撃力が-34%になる。この効果は浄化不可。","","","",""
"nordic_ice_enchantress_costume_aqua","Isarnia C","","","・Deals 255% damage to all enemies.
・All enemies get -34% defense for 6 turns. This effect can't be dispelled.","・敵全員に255%のダメージを与える。
・6ターンの間、敵全員の防御力が-34%になる。この効果は解除できない。","","","",""
"lizardman_warrior_costume_dinosaur","Isshtak C","","","・Deals 185% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -44% defense for 4 turns.","・ターゲットに185%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の防御力が-44%になる。","","","",""
"lizardman_trapper_costume_shaman","Kashhrek C","","","・Boosts health of the caster and nearby allies by 450. Boosted health can exceed max HP.
・The caster and nearby allies get 64% defense against [#ff9f81]Fire[#] for 3 turns.","・術者と近くにいる仲間のライフを450回復する。ライフ値が最大HPを超えた場合は、一時的に最大HP値が増加する。
・術者と近くにいる仲間の[#ff9f81]炎属性[#]への防御力が64%になる(3ターン)","","","",""
"forest_friar_costume_explorer","Friar Tuck C","","","・Recovers 22% health for all allies.
・All allies get 24% mana generation for 3 turns. This effect can't be dispelled.","・仲間全員のライフを22%回復する。
・すべての仲間がマナ生成24%を得る(3ターン)。この効果は解除不可","","","",""
"exalted_warrior_costume_ice","Magni C","","","・Deals 420% damage to the target.
・The target and nearby enemies get -34% defense for 4 turns.","・ターゲットに420%のダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の防御力が-34%になる。","","","",""
"dwarven_smasher_costume_smith","Karil C","","","・Deals 240% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies receive 66 Burn damage over 3 turns. This effect can't be cleansed.","・ターゲットに240%ダメージ、近くにいる敵に小ダメージを与える。
・3ターンの間、ターゲットと近くにいる敵に66の燃焼ダメージを与える。この効果は浄化できない。","","","",""
"dwarven_guard_costume_ram","Boril C","","","・All allies counterattack with 60% of the damage received for 4 turns.","・4ターンの間、仲間全員が受けたダメージの60%で反撃する。","","","",""
"cultist_sorceress_costume_shaman","Sartana C","","","・Deals 532% damage to the target.","・ターゲットに532%のダメージを与える。","","","",""
"blackguard_skulker_costume_doctor","Renfeld C","","","・Deals 195% damage to the target.
・The caster steals generated mana of the target and the nearby enemies over 4 turns starting low and increasing every turn until on the last turn all the generated mana is stolen. This effect can't be cleansed, but gets removed if the caster is defeated.","・ターゲットに195%のダメージを与える。
・術者がターゲットと近くにいる敵のマナを4ターンに渡って奪う。最初は少量しか奪えないが、ターン毎に奪える量が増え、生成されたすべてのマナを奪うまで続く。この効果は浄化不可だが、術者が倒れると解除される。","","","",""
"forest_archer_costume_warrior","Berden C","","","・Deals 325% damage to the target.
・The target gets -34% defense for 6 turns.","・ターゲットに325%のダメージを与える。
・6ターンの間、ターゲットの防御力が-34%になる。","","","",""
"elven_captain_costume_mask","Caedmon C","","","・Deals 345% damage to the target.
・Cleanses status ailments from all allies.","・ターゲットに345%のダメージを与える。
・仲間全員のステータス異常を浄化する。","","","",""
"dwarwen_brewmaster_costume_guitarist","Kiril C","","","・Recovers 28% health for all allies.
・All enemies get -34% attack for 3 turns. This effect can't be cleansed.
・All enemies get -34% defense for 3 turns. This effect can't be dispelled.","・仲間全員のライフを28%回復する。
・3ターンの間、敵全員の攻撃力が-34%になる。この効果は浄化不可。
・3ターンの間、敵全員の防御力が-34%になる。この効果は解除できない。","","","",""
"cultist_mage_costume_voodoo","Balthazar C","","","・Deals 315% damage to the target.
・The target receives 66 Poison damage over 3 turns.","・ターゲットに315%のダメージを与える。
・3ターンの間、ターゲットに66の毒ダメージを与える。","","","",""
"blackguard_female_captain_costume_musketeer","Prisca C","","","・Deals 205% damage to the target and minor damage to nearby enemies.","・ターゲットに205%ダメージ、近くにいる敵に小ダメージを与える。","","","",""
"nomad_female_swordmaster_costume_native","Azar C","","","・Deals 170% damage to the target and nearby enemies.
・Reduces the mana of the target and nearby enemies by -15%.","・ターゲットと近くにいる敵に170%のダメージを与える。
・ターゲットと近くにいる敵のマナが-15%減少する。","Targetable means characters that aren't defeated, ghosts, or affected by invisibility, abyss, or any similar effect.","「ターゲット可能」とは、戦闘不能になっていないキャラクターやゴーストではないユニット、不可視や奈落の底といった効果を受けていないユニットを意味する。","",""
"magitech_sniper_costume_steampunk","Domitia C","","","・Deals 400% damage to the target.
・Cleanses status ailments from the caster and nearby allies.
・The target and nearby enemies receive 544 Poison damage over 4 turns.","・ターゲットに400%のダメージを与える。
・術者と近くにいる仲間のステータス異常を浄化する。
・4ターンの間、ターゲットと近くにいる敵に544の毒ダメージを与える。","","","",""
"lionman_barbarian_costume_armor","Azlar C","","","・Deals 205% damage to the target and nearby enemies.
・Deals 200% damage to enemies with more than 50% health remaining.
・The target and nearby enemies receive 718 Burn damage over 2 turns. This effect can't be cleansed.","・ターゲットと近くにいる敵に205%のダメージを与える。
・敵の残りのライフが50%以上の場合、200%のダメージを与える。
・2ターンの間、ターゲットと近くにいる敵に718の燃焼ダメージを与える。この効果は浄化できない。","","","",""
"goblin_fighter_costume_evil","Carver C","","","・Deals 125% damage to all enemies.
・All enemies are immune to new status effect buffs for 3 turns. Attempted mana generation buffs will be replaced by -102% mana generation for -102 turns.","・敵全員に125%のダメージを与える。
・3ターンの間、敵全員が新たなステータス効果バフの影響を受けなくなる。マナ生成バフを発動しようとすると-102ターンの間、マナ生成が-102%になる。","","","",""
"forest_woodsman_warrior_costume_camouflage","Little John C","","","・Deals 185% damage to all enemies.
・The caster and nearby allies have from 24% to 70% chance to dodge Special Skills that deal damage. The higher the damage from the Special Skill is, the higher the chance there is to dodge it. Each dodge gives 24% mana to the target. The effect lasts for 4 turns.","・敵全員に185%のダメージを与える。
・術者と近くにいる仲間が攻撃系の特殊スキルを回避する確率が、24%から70%になる。特殊スキルよって与えられるダメージが大きいほど、回避の確率も高くなる。回避に成功するたびに、対象者のマナが24%になる。この効果は、4ターン続く。","","","",""
"forest_male_elf_costume_dark","Elkanen C","","","・Deals 280% damage to the target and nearby enemies.
・The caster steals 61% of any healing applied to the target and nearby enemies for 3 turns.","・ターゲットと近くにいる敵に280%のダメージを与える。
・3ターンの間、術者が、ターゲットと近くにいる敵に適用されたあらゆる種類の回復の61%を盗む。","","","",""
"forest_female_spirit_costume_autumn","Belith C","","","・All allies regenerate 720 HP over 3 turns. This effect can't be dispelled.
・All allies are immune to buff dispels and reallocations for 3 turns.","・仲間全員のHPが720回復(3ターン)。この効果は解除不可
・3ターンの間、仲間全員がバフ解除および再割り当てに耐性を持つ。","The immunity also includes this effect itself.","耐性には、この効果自体も含まれる。","",""
"forest_female_elf_costume_mage","Kadilen C","","","・Deals 170% damage to all enemies.
・All allies get 45% chance to dodge Special Skills for 3 turns. Each dodge summons a Thorn Minion.","・敵全員に170%のダメージを与える。
・3ターンの間、仲間全員が45%の確率で特殊スキルを回避する。回避が成功するたびに、ソーンミニオンをサモンする。","","","",""
"nomad_female_captain_costume_pirate","Marjana C","","","・Deals 358% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -54% defense against [#ff9f81]Fire[#] for 3 turns.
・All [#41d8fe]Ice[#] enemies get -34% attack for 3 turns.","・ターゲットに358%ダメージ、近くにいる敵に小ダメージを与える。
・3ターンの間、ターゲットと近くにいる敵の[#ff9f81]炎属性[#]への防御力が-54%になる。
・3ターンの間、すべての[#41d8fe]氷属性[#]の敵の攻撃力が-34%になる。","","","",""
"nomad_mage_costume_goggles","Jahangir C","","","・Deals 115% damage to all enemies.
・All enemies receive 172 Burn damage over 4 turns. This effect can't be cleansed.","・敵全員に115%のダメージを与える。
・4ターンの間、敵全員に172の燃焼ダメージを与える。この効果は浄化できない。","","","",""
"oriental_warrior_king_costume_roman","Leonidas C","","","・Deals 390% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -54% defense against [#f2e33a]Holy[#] for 4 turns.
・All [#e290ff]Dark[#] enemies get -34% attack for 4 turns.","・ターゲットに390%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の[#f2e33a]聖属性[#]に対する防御力が-54%になる。
・4ターンの間、すべての[#e290ff]闇属性[#]の敵の攻撃力が-34%になる。","","","",""
"orc_troopmaster_costume_merchant","Gormek C","","","・Deals 180% damage to all enemies.
・Destroys all Minions from all enemies and damages all Mega Minions.
・All allies recover 640 HP for each destroyed Minion.","・敵全員に180%のダメージを与える。
・敵全員のミニオンをすべて撃破し、全メガミニオンにダメージを与える。
・ミニオンを倒す毎に、仲間全員のHPが640回復する。","","","",""
"nordic_chained_werewolf_costume_raccoon","Graymane C","","","・Deals 235% damage to the target.
・The caster is immune to new status ailments for 3 turns.
・The caster gets 50% attack for 3 turns. This effect can't be cleansed.","・ターゲットに235%のダメージを与える。
・3ターンに渡って、術者が新たなステータス異常を無効化する。
・3ターンの間、術者の攻撃力が50%になる。この効果は浄化できない。","","","",""
"nordic_ancestral_warrior_costume_corrupted","Grimm C","","","・Deals 295% damage to the target and minor damage to nearby enemies.
・The caster and nearby allies get 50% attack for 6 turns.","・ターゲットに295%ダメージ、近くにいる敵に小ダメージを与える。
・6ターンの間、術者と近くにいる仲間の攻撃力が50%になる。","","","",""
"oriental_female_guard_costume_soldier","Dawa C","","","・Deals 200% damage per each [##elementpurple]Dark[#] shield on the board to all enemies, up to 200% damage in total.","・ボード上に[##elementpurple]闇属性[#]の盾が出現する度に、敵全員に200%の追加ダメージを与える。付与ダメージの上限は合計200%まで。","This effect targets the same enemy as the first hit if there are no other valid targets.","有効な他のターゲットがいない場合、最初の攻撃を受けた敵をもう一度攻撃する。","",""
"nomad_female_assassin_costume_poison","Scarlett C","","","・Deals 185% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies receive 156 Poison damage over 3 turns.
・The caster and nearby allies get 30% attack for 3 turns.","・ターゲットに185%ダメージ、近くにいる敵に小ダメージを与える。
・3ターンの間、ターゲットと近くにいる敵に156の毒ダメージを与える。
・3ターンの間、術者と近くにいる仲間の攻撃力が30%になる。","","","",""
"undead_captain_warrior_costume_prince","Cyprian C","","","・All allies counterattack with 60% of the damage received for 4 turns.","・4ターンの間、仲間全員が受けたダメージの60%で反撃する。","","","",""
"exalted_female_statue_costume_sungoddess","Justice C","","","・Deals 250% damage to all enemies.
・The damage is increased by 50% per each defeated ally.
・The caster gets 24% mana generation for 3 turns. This effect can't be dispelled.","・敵全員に250%のダメージを与える。
・倒れた仲間1人につき攻撃力が50%増加する。
・3ターンの間、術者のマナ生成が24%になる。この効果は解除できない。","","","",""
"undead_horned_skeleton_costume_fool","Oberon C","","","・All enemies receive 357 Poison damage over 3 turns.","・3ターンの間、敵全員に357の毒ダメージを与える。","","","",""
"oriental_panda_berserker_costume_farmer","Gan Ju C","","","・Deals 220% damage to the target.
・Reduces the mana of the target by -40%.","・ターゲットに220%のダメージを与える。
・ターゲットのマナが-40%減少する。","Targetable means characters that aren't defeated, ghosts, or affected by invisibility, abyss, or any similar effect.","「ターゲット可能」とは、戦闘不能になっていないキャラクターやゴーストではないユニット、不可視や奈落の底といった効果を受けていないユニットを意味する。","",""
"royal_knight_commander_costume_king","Thorne C","","","・Deals 540% damage to the target.
・The caster gets 24% mana generation for 3 turns. This effect can't be dispelled.","・ターゲットに540%のダメージを与える。
・3ターンの間、術者のマナ生成が24%になる。この効果は解除できない。","","","",""
"nordic_swordman_costume_climber","Valen C","","","・Deals 335% damage to the target.
・The caster gets 54% attack for 6 turns. This effect can't be cleansed.","・ターゲットに335%のダメージを与える。
・6ターンの間、術者の攻撃力が54%になる。この効果は浄化できない。","","","",""
"oriental_panda_warrior_costume_armor","Hu Tao C","","","・Deals 160% damage to all enemies.
・All enemies get -130% accuracy for 4 turns.
・All enemies get 50% increase for any healing received for 4 turns. This effect can't be dispelled.","・敵全員に160%のダメージを与える。
・4ターンの間、敵全員の命中率が-130%になる。
・4ターンの間、敵全員の回復量が50%になる。この効果は解除できない。","Chance to miss also applies to offensive Special Skills.","特殊スキルが不発に終わる可能性は、攻撃系の特殊スキルに対しても適用される。","",""
"undead_female_warrior_costume_princess","Sabina C","","","・Dispels buffs from all enemies.
・All allies regenerate 1120 HP over 3 turns. This effect can't be dispelled.
・All enemies are immune to new status effect buffs for 3 turns.","・敵全員のバフを解除する。
・仲間全員のHPが1120回復(3ターン)。この効果は解除不可
・3ターンの間、敵に新しく追加されるステータス効果を付与するバフを無効化する。","","","",""
"nomad_female_berserker_costume_shaman","Kelile C","","","・All enemies receive 346 Burn damage over 2 turns. This effect can't be cleansed.","・2ターンの間、敵全員に346の燃焼ダメージを与える。この効果は浄化できない。","","","",""
"oriental_female_mage_costume_mender","Kailani C","","","・All allies become [#!]Soul Connected[#] for 5 turns. Soul Connected allies share received damage.
・All allies get 50% attack for 5 turns.","・5ターンの間、仲間全員に[#!]ソウル・コネクト[#]が発動する。ソウル・コネクトによって魂が繋がった仲間同士は被ダメージを共有する。
・5ターンの間、仲間全員の攻撃力が50%になる。","","","",""
"nordic_mage_costume_hermit","Ulmer C","","","・Deals 145% damage to all enemies.
・All allies get 48% attack for 6 turns.","・敵全員に145%のダメージを与える。
・6ターンの間、仲間全員の攻撃力が48%になる。","","","",""
"tribal_chief_costume_conqueror","Khagan C","","","・Deals 514% damage to the target.
・All allies get 12% mana generation for 5 turns. This effect can't be dispelled.
・All allies get 46% defense for 5 turns. This effect can't be dispelled.","・ターゲットに514%のダメージを与える。
・すべての仲間がマナ生成12%を得る(5ターン)。この効果は解除不可
・5ターンの間、仲間全員の防御力が46%になる。この効果は解除できない。","","","",""
"nomad_axe_adventurer_costume_magma","Colen C","","","・Deals 240% damage to all enemies.
・All enemies receive 231 Burn damage over 3 turns. This effect can't be cleansed.","・敵全員に240%のダメージを与える。
・3ターンの間、敵全員に231の燃焼ダメージを与える。この効果は浄化できない。","","","",""
"orc_warrior_costume_urukhai","Nashgar C","","","・Deals 260% damage to the target.
・The target receives 141 Burn damage over 3 turns. This effect can't be cleansed.","・ターゲットに260%のダメージを与える。
・3ターンの間、ターゲットに141の燃焼ダメージを与える。この効果は浄化できない。","","","",""
"underworld_champion_costume_champion","Obakan C","","","・Deals 182% damage to all enemies.
・The caster and nearby allies counterattack with 85% of the damage received for 4 turns. This effect cannot be dispelled.","・敵全員に182%のダメージを与える。
・4ターンの間、術者と付近の仲間が受けたダメージの85%で反撃する。この効果は解除できない。","","","",""
"oriental_falconer_costume_dodo","Chao C","","","・Deals 275% damage to the target.
・The caster steals generated mana of the target over 4 turns starting low and increasing every turn until on the last turn all the generated mana is stolen. This effect can't be cleansed, but it gets removed if the caster is defeated.","・ターゲットに275%のダメージを与える。
・術者がターゲットのマナを4ターンに渡って奪う。最初は少量しか奪えないが、ターン毎に奪える量が増え、生成されたすべてのマナを奪うまで続く。この効果は浄化不可だが、術者が倒れると消える。","","","",""
"oriental_monkey_captain_costume_warrior","Wu Kong C","","","・Deals 210% damage to all enemies.
・The caster gets -20% defense for 3 turns.","・敵全員に210%のダメージを与える。
・術者の防御力-20%(3ターン)","","","",""
"s2_poseidon_costume_slayer","Poseidon C","","","・Deals 480% damage to the target.
・All allies are immune to new status ailments for 3 turns.","・ターゲットに480%のダメージを与える。
・3ターンの間、仲間全員が新たなステータス異常を受けない。","","","",""
"s2_ariel_costume_enchanter","Ariel C","","","・Boosts health of all allies by 520. Boosted health can exceed max HP.
・Cleanses status ailments from all allies.
・All allies receive a small amount of mana over 4 turns.","・仲間全員のHPを520回復する。ライフ値が最大HPを超えた場合は、一時的に最大HP値が増加する。
・仲間全員のステータス異常を浄化する。
・4ターンに渡って、仲間全員が少量のマナを獲得する。","","","",""
"s2_cursed_samurai_costume_beetle","Kageburado C","・Dispels buffs from the target.","・ターゲットのバフを解除する。","・Dispels buffs from the target.
・Deals 320% damage to the target.
・The target is immune to new status effect buffs for 2 turns.
・The target gets -34% defense for 2 turns.","・ターゲットのバフを解除する。
・ターゲットに320%のダメージを与える。
・2ターンの間、ターゲットに新しく追加されるステータス効果を付与するバフを無効化する。
・2ターンの間、ターゲットの防御力が-34%になる。","","","",""
"s2_ursena_costume_reef","Ursena C","","","・Deals 130% damage to all enemies.
・Deals 200% damage to enemies with more than 50% health remaining.
・All allies reflect all status effects and 115% damage back to the attacker and block other negative effects from enemies' [#f2e33a]Holy[#] Special Skills for 4 turns.
・All [##elementyellow]Holy[#] enemies get -54% defense against [#e290ff]Dark[#] for 4 turns.","・敵全員に130%のダメージを与える。
・敵の残りのライフが50%以上の場合、200%のダメージを与える。
・4ターンの間、仲間全員が、すべてのステータス効果とダメージの115%を攻撃者にを跳ね返す。さらに、[#f2e33a]聖属性[#]の敵の特殊スキルによって発生した、他のマイナスの効果を無効化する。
・4ターンの間、[##elementyellow]聖属性[#]の敵全員の[#e290ff]闇属性[#]に対する防御力が-54%になる。","Status effects cast by characters, Minions and Fiends on the same side cannot be reflected.","同じチームのキャラクター、ミニオン、フィエンドが特殊スキルを使用して敵にステータス効果を付与した場合、敵はこれらの効果を跳ね返すことができない。","",""
"easter_killhare_costume_farmer","Killhare C","","","・Deals 330% damage to all enemies.
・All allies except the caster get -20% attack for 3 turns.","・敵全員に330%のダメージを与える。
・術者以外の仲間全員の攻撃力が-20%になる(3ターン)","","","",""
"rabbit_blue_costume_riftbreaker","Master Lepus C","","","・Deals 280% damage to all enemies.
・The caster gets -24% mana generation for 4 turns. This effect can't be dispelled.","・敵全員に280%のダメージを与える。
・4ターンの間、術者のマナ生成が-24%になる。この効果は解除できない。","","","",""
